Route_Number,Reason,Boro,Boro Code,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Breakdown_or_Running_Late
6,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",45.00,16,Running Late
2,Other,Brooklyn,BR,"G.V.C., LTD.",10.00,12,Running Late
K186,Heavy Traffic,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2",20.00,14,Running Late
Q9687,Late return from Field Trip,Queens,QS,QUALITY TRANSPORTATION CO,35.00,30,Running Late
Q9908,Late return from Field Trip,Queens,QS,QUALITY TRANSPORTATION CO,35.00,25,Running Late
4,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",15.00,16,Running Late
M565,Heavy Traffic,Manhattan,MA,LEESEL TRANSP CORP (B2192,30.00,15,Running Late
K183,Heavy Traffic,Brooklyn,BR,L & M BUS CORP. (B2192),15.00,16,Running Late
K760,Other,Brooklyn,BR,CAREFUL BUS,30.00,15,Running Late
X2270,Heavy Traffic,Brooklyn,BR,PIONEER TRANSPORTATION CO,14.00,12,Running Late
Q2658,Other,Queens,QS,QUALITY TRANSPORTATION CO,15.00,20,Running Late
Q2937,Other,Queens,QS,ALLIED TRANSIT CORP.,20.00,13,Running Late
X108,Heavy Traffic,Brooklyn,BR,VAN TRANS LLC (B2192),25.00,12,Running Late
K080,Heavy Traffic,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2",35.00,17,Running Late
K289,Heavy Traffic,Brooklyn,BR,EMPIRE CHARTER SERVICE IN,20.00,11,Running Late
X105,Other,Brooklyn,BR,PIONEER TRANSPORTATION CO,12.00,15,Running Late
M1226,Heavy Traffic,Manhattan,MA,SNT BUS INC,25.00,20,Running Late
K293,Delayed by School,Brooklyn,BR,EMPIRE STATE BUS CORP.,20.00,14,Running Late
X2256,Heavy Traffic,Brooklyn,BR,PIONEER TRANSPORTATION CO,7.00,27,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",30.00,12,Running Late
3,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",15.00,16,Running Late
K580,Heavy Traffic,Brooklyn,BR,"RELIANT TRANS, INC. (B232",20.00,13,Running Late
M1257,Heavy Traffic,Manhattan,MA,SNT BUS INC,45.00,23,Running Late
BX13,Other,Brooklyn,BR,PHILLIPS BUS SERVICE,15.00,15,Running Late
Q026,Late return from Field Trip,Queens,QS,ALLIED TRANSIT CORP.,30.00,22,Running Late
X2289,Other,Brooklyn,BR,"GRANDPA`S BUS CO., INC.",45.00,18,Running Late
K269,Heavy Traffic,Brooklyn,BR,L & M BUS CORP. (B2192),20.00,19,Running Late
Q157,Heavy Traffic,Queens,QS,L & M BUS CORP. (B2192),20.00,24,Running Late
X506,Other,Brooklyn,BR,LITTLE RICHIE BUS SERVICE,15.00,12,Running Late
